hillnumber, hillname, region, parent, classification, metres, gridref, drop, latitude, longitude,W,WO,easting,northing
2485,Lingmoor Fell [Lingmoor Fell - Brown How],34B,,"Ma,4,W,B, Sy,Fel",470,NY302046,248,54.432067,-3.07641,1,0,330272,504605
2486,Barf,34A,2345,"4,W,B,Sy, Fel",469,NY214267,38,54.629665,-3.218084,1,0,321462,526741
2487,Raven Crag,34B,2396,"4,W,B,Sy, Fel",461,NY303187,44,54.559231,-3.07872,1,0,330339,518757
2488,Barrow,34B,2372,"4,W,B,Sy, Fel",455,NY227218,71,54.58566,-3.19752,1,0,322706,521822
2489,Graystones,34A,2345,W,452,NY176266,11,54.627991,-3.277642,1,0,317614,526623
2490,Catbells,34B,2400,"4,W,B,Sy, Fel",451,NY244198,87,54.568316,-3.1707,1,0,324408,519863
2491,Great Crag (Stonethwaite),34B,2396,"4,W,B,Sy, Fel",449,NY270146,32,54.522189,-3.129333,1,0,327000,514687
2493,Low Fell,34B,,"Ma,4,W,B, Sy,Fel",423,NY137226,266,54.591358,-3.336608,1,0,313730,522618
2494,Gibson Knott,34B,2396,"W,B,Sy,Fel",420,NY316100,10,54.48107,-3.055825,1,0,331689,510038
2495,Fellbarrow - Mosser Fell,34B,2493,"4,W,B,Sy, Fel",416,NY132242,51.6,54.60582,-3.344699,1,0,313238,524237
2496,Grange Fell [Brund Fell],34B,2396,"4,W,B,Sy, Fel",417.2,NY264162,42.2,54.536408,-3.137963,1,0,326467,516278
2497,Buckbarrow,34B,2427,"W,B,Sy,Fel",423,NY135061,4,54.443165,-3.334275,1,0,313568,506127
2498,Helm Crag,34B,2396,"4,W,B,Sy, Fel",405,NY326093,70,54.475026,-3.040823,1,0,332651,509351
2499,Silver How,34B,2396,"3,W,B,Sy, Fel",395,NY324066,31,54.450696,-3.04289,1,0,332477,506646
2500,Walla Crag,34B,2396,"W,B,Sy,Fel",379,NY276212,24,54.581608,-3.120377,1,0,327685,521289
2501,Ling Fell,34A,2345,"3,sHu,W,B, Sy,Fel",373,NY179285,97,54.645249,-3.272325,1,0,317992,528537
2502,Rannerdale Knotts,34B,2372,"3,W,B,Sy, Fel",355,NY167182,66,54.552643,-3.289032,1,0,316725,518253
2503,Sale Fell,34A,2345,"Hu,3,W,B, Sy,Fel",359,NY194296,137,54.655627,-3.250157,1,0,319443,529666
2505,Dent,34B,2504,WO,346,NY037130,6,54.503594,-3.488027,0,1,303740,513050
2506,Boat How,34B,2454,"3,WO,B,Sy, Fel",337,NY177034,79,54.419381,-3.26945,0,1,317724,503403
2507,Loughrigg Fell,34B,,"Ma,3,W,B, Sy,Fel",335,NY346051,172,54.437454,-3.008355,1,0,334695,505140
2508,Black Fell,34D,2667,"Hu,3,W,B, Sy,Fel",323,NY340015,126,54.405503,-3.017955,1,0,334021,501593
2509,Ponsonby Fell,34B,2368,"3,WO,B,Sy",315,NY081070,34,54.450353,-3.417366,0,1,308196,507032
2510,Castle Crag,34B,2400,"2,W,Sy,Fel",290,NY249159,75,54.533181,-3.161612,1,0,324930,515944
2511,Cold Fell,34B,2368,"2,WO",293,NY058092,83,54.469439,-3.454829,0,1,305811,509205
2512,Flat Fell,34B,2368,"2,WO",272,NY052137,74,54.509889,-3.464963,0,1,305248,513719
2514,Irton Pike,34B,2454,WO,229,NY120015,25,54.401785,-3.356009,0,1,312070,501550
2515,Helvellyn,34C,,"Ma,F,Sim,Hew, N,W,B,Sy",949.8,NY342151,713.4,54.527001,-3.017514,1,0,334245,515112
2517,Nethermost Pike,34C,2515,"N,sSim,W,B, Sy,Fel",891.3,NY343142,29.1,54.518993,-3.015446,1,0,334366,514219
2518,Catstye Cam,34C,2515,"Sim,Hew,N,W, B,Sy,Fel",889.6,NY348158,62.4,54.533472,-3.008944,1,0,334810,515824
2520,Raise,34C,2515,"Sim,Hew,N,sHu, W,B,Sy,Fel",882.7,NY342174,91.6,54.547718,-3.017473,1,0,334281,517417
2521,Fairfield,34C,,"Ma,Sim,Hew,N, W,B,Sy,Fel",873.3,NY358117,300.3,54.497054,-2.991648,1,0,335872,511756
2523,White Side,34C,2515,"Sim,Hew,N,W, B,Sy,Fel",863.2,NY337166,43.1,54.540904,-3.025048,1,0,333780,516666
2524,Dollywaggon Pike,34C,2515,"Sim,Hew,N,W, B,Sy,Fel",858.5,NY346130,50.3,54.508693,-3.011175,1,0,334626,513069
2525,Great Dodd,34C,2515,"Hu,Sim,Hew,N, W,B,Sy,Fel",857,NY342205,109,54.575689,-3.019377,1,0,334203,520531
2526,Stybarrow Dodd,34C,2515,"Sim,Hew,N,W, B,Sy,Fel",843.7,NY343189,68.9,54.561137,-3.017405,1,0,334307,518910
2527,St Sunday Crag,34C,,"Ma,Sim,Hew,N, W,B,Sy,Fel",841.2,NY369133,160.5,54.51194,-2.975836,1,0,336919,513398
2528,High Street,34C,,"Ma,Sim,Hew,N, W,B,Sy,Fel",828,NY440110,373,54.491691,-2.86486,1,0,344076,511051
2529,Hart Crag,34C,2521,"Sim,Hew,N,W, B,Sy,Fel",823.1,NY368112,51.2,54.492752,-2.976954,1,0,336817,511264
2530,High Raise (High Street),34C,2528,"Sim,Hew,N,W, B,Sy,Fel",802,NY448134,88,54.513367,-2.853779,1,0,344823,513454
2532,Rampsgill Head,34C,2528,"Sim,Hew,N,W, B,Sy,Fel",792,NY443128,41,54.508092,-2.861252,1,0,344332,512873
2533,Dove Crag,34C,2521,"Sim,Hew,N,W, B,Sy,Fel",792,NY374104,50,54.4854,-2.96693,1,0,337455,510437
2534,Watson's Dodd,34C,2515,"W,B,Sy,Fel",789,NY335195,11,54.566917,-3.028995,1,0,333567,519564
2535,Thornthwaite Crag,34C,2528,"Sim,Hew,N,W, B,Sy,Fel",784,NY431100,31,54.482611,-2.878976,1,0,343149,510052
2536,Kidsty Pike,34C,2528,"N,W,B,Sy, Fel",780,NY447125,15,54.505513,-2.854959,1,0,344736,512581
2537,Harter Fell (Mardale),34C,2528,"Hu,Sim,Hew,N, sMa,W,B,Sy",779,NY459093,149.2,54.476414,-2.835323,1,0,345969,509328
2538,Red Screes,34C,,"Ma,Sim,Hew,N, W,B,Sy,Fel",776,NY396087,260,54.47058,-2.932572,1,0,339659,508758
2539,Great Rigg,34C,2521,"Sim,Hew,N,W, B,Sy,Fel",766.1,NY355104,31,54.484906,-2.995676,1,0,335592,510408
2540,Stony Cove Pike [Caudale Moor],34C,,"Ma,Sim,Hew,N, W,B,Sy,Fel",763,NY417100,171,54.48206,-2.90008,1,0,341781,510008
2541,Mardale Ill Bell,34C,2528,"W,B,Sy,Fel, xN",760,NY447101,10,54.483418,-2.854112,1,0,344761,510122
2542,Ill Bell,34C,2528,"Hu,Sim,Hew,N, W,B,Sy,Fel",757,NY436077,124,54.462017,-2.870837,1,0,343648,507754
2543,Hart Side,34C,2515,"N,sSim,W,B, Sy,Fel",756,NY359197,23,54.568719,-2.992938,1,0,335901,519731
2544,The Knott (High Street),34C,2528,"W,B,Sy,xN",739,NY437126,13,54.506316,-2.870821,1,0,343710,512683
2545,Seat Sandal,34C,,"Ma,Sim,Hew,N, W,B,Sy,Fel",736.8,NY344115,151.9,54.494857,-3.014027,1,0,334419,511532
2546,Kentmere Pike,34C,2528,"Sim,Hew,N,W, B,Sy,Fel",730,NY465077,39,54.462673,-2.826033,1,0,346553,507792
2547,Clough Head,34C,2515,"Hu,Sim,Hew,N, W,B,Sy,Fel",726,NY333225,108,54.593661,-3.032362,1,0,333393,522543
2548,Froswick,34C,2528,"Sim,Hew,N,W, B,Sy,Fel",720,NY435085,75,54.468949,-2.872959,1,0,343520,508527
2549,Birkhouse Moor,34C,2515,"N,sSim,W,B, Sy,Fel",717.6,NY363159,22.3,54.535033,-2.98532,1,0,336341,515976
2550,Branstree,34C,2528,"Hu,Sim,Hew,N, W,B,Sy,Fel",713,NY478099,137,54.482402,-2.807168,1,0,347801,509973
2551,Yoke,34C,2528,"Sim,Hew,N,W, B,Sy,Fel",706,NY437067,38,54.452928,-2.868716,1,0,343773,506741
2552,Gray Crag,34C,2528,"N,W,B,Sy, Fel",699,NY427117,16,54.497475,-2.885379,1,0,342755,511711
2553,Rest Dodd,34C,2528,"Hu,Sim,Hew,N, W,B,Sy,Fel",696,NY432136,111,54.514937,-2.878033,1,0,343255,513648
2554,Sheffield Pike,34C,2515,"Sim,Hew,N,sHu, W,B,Sy,Fel",676.1,NY369181,93,54.554936,-2.977002,1,0,336910,518183
2556,Loadpot Hill,34C,2528,"Sim,Hew,N,W, B,Sy,Fel",672,NY456180,49,54.554737,-2.842087,1,0,345635,518048
